"","FIPS","State","Year","Fentanyl_Total"
"380",26,"Michigan",2017,379
"381",27,"Minnesota",2017,162
"382",28,"Mississippi",2017,129
"383",29,"Missouri",2017,1738
"384",30,"Montana",2017,28
"385",31,"Nebraska",2017,13
"386",32,"Nevada",2017,13
"387",33,"New
Hampshire",2017,1952
"388",34,"New Jersey",2017,3924
"389",35,"New Mexico",2017,27
"390",36,"New York",2017,4322
"391",37,"North
Carolina",2017,458
"392",38,"North Dakota",2017,71
"393",39,"Ohio",2017,11906
"394",40,"Oklahoma",2017,42
"395",41,"Oregon",2017,45
"396",42,"Pennsylvania",2017,8206
"397",44,"Rhode Island",2017,528
"398",45,"South
Carolina",2017,664
"399",46,"South Dakota",2017,6
"400",47,"Tennessee",2017,530
"401",48,"Texas",2017,288
"402",49,"Utah",2017,13
"403",50,"Vermont",2017,334
"404",51,"Virginia",2017,2049
"405",53,"Washington",2017,109
"406",54,"West Virginia",2017,238
"407",55,"Wisconsin",2017,390
"408",56,"Wyoming",2017,8
"409",1,"Alabama",2018,54
"410",2,"Alaska",2018,2
"411",4,"Arizona",2018,1001
"412",5,"Arkansas",2018,287
"413",6,"California",2018,1415
"414",8,"Colorado",2018,95
"415",9,"Connecticut",2018,471
"416",10,"Delaware",2018,137
"417",11,"District of
Columbia",2018,53
"418",12,"Florida",2018,2891
"419",13,"Georgia",2018,191
"420",15,"Hawaii",2018,0
"421",16,"Idaho",2018,38
"422",17,"Illinois",2018,4654
"423",18,"Indiana",2018,1622
"424",19,"Iowa",2018,307
"425",20,"Kansas",2018,76
"426",21,"Kentucky",2018,2928
"427",22,"Louisiana",2018,382
"428",23,"Maine",2018,403
"429",24,"Maryland",2018,5419
"430",25,"Massachusetts",2018,8287
"431",26,"Michigan",2018,940
"432",27,"Minnesota",2018,352
"433",28,"Mississippi",2018,158
"434",29,"Missouri",2018,2709
"435",30,"Montana",2018,23
"436",31,"Nebraska",2018,44
"437",32,"Nevada",2018,34
"438",33,"New
Hampshire",2018,1926
"439",34,"New Jersey",2018,7208
"440",35,"New Mexico",2018,40
"441",36,"New York",2018,5876
"442",37,"North
Carolina",2018,1417
"443",38,"North Dakota",2018,88
"444",39,"Ohio",2018,16174
"445",40,"Oklahoma",2018,59
"446",41,"Oregon",2018,128
"447",42,"Pennsylvania",2018,10728
"448",44,"Rhode Island",2018,655
"449",45,"South
Carolina",2018,1308
"450",46,"South Dakota",2018,3
